danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,title
0.704,0.797,-4.7,0.0505,0.133,0,0.284,0.619,110.003,274860,ホワイトキス
0.725,0.75,-5.694,0.0772,0.0242,0,0.101,0.888,101.19,171547,常緑
0.787,0.718,-6.17,0.0395,0.00477,0.00107,0.0895,0.47,140.002,141934,Talking Box
0.723,0.578,-7.799,0.0374,0.361,0.000673,0.0899,0.659,176.09,269667,ナイトオンザプラネット
0.78,0.814,-3.617,0.0291,0.0432,8.28e-05,0.168,0.59,108.025,166967,ヨワネハキ
0.832,0.643,-9.745,0.0371,0.199,0.25,0.18,0.866,118.993,142116,「ぴえん」のうた
0.926,0.383,-7.729,0.0776,0.812,0.00238,0.254,0.39,134.076,191689,逃避行
0.718,0.475,-11.469,0.0611,0.845,0.801,0.105,0.678,157.032,230110,踊り子
0.693,0.586,-6.098,0.0315,0.233,0,0.145,0.459,82.039,263680,Doughnut
0.298,0.373,-11.53,0.0361,0.518,2.61e-06,0.341,0.391,207.901,280360,曖昧
0.587,0.924,-4.622,0.0534,0.0775,0,0.256,0.882,136.95,120876,Surges
0.828,0.731,-3.033,0.111,0.0617,0,0.048,0.587,119.978,178453,ELEVEN
0.562,0.939,-4.597,0.038,0.00903,0.432,0.0578,0.814,156.06,272308,#あくあ色ぱれっと
0.628,0.775,-4.479,0.0535,0.159,0,0.33,0.674,106.382,278119,W / X / Y
0.335,0.844,-3.97,0.0545,0.000418,1.25e-05,0.331,0.263,185.876,293210,Blue Spring
0.329,0.791,-3.554,0.0413,0.0717,0,0.085,0.514,173.889,252653,アオハル
0.516,0.902,-6.097,0.0732,3.26e-05,0.868,0.0863,0.172,143.988,284000,Pythagora Switch Opening Theme
0.587,0.611,-8.862,0.0739,0.244,2.88e-05,0.238,0.499,179.951,196000,2:23 AM
0.785,0.907,-2.657,0.0938,0.00122,3.11e-06,0.213,0.685,126.004,183693,WA DA DA
0.614,0.579,-4.937,0.038,0.417,0,0.0666,0.692,149.831,213600,スパークル
0.702,0.732,-6.803,0.0266,0.0749,0,0.297,0.636,100.0,262800,夜撫でるメノウ
0.629,0.543,-6.281,0.0252,0.383,0,0.127,0.403,93.043,238973,レオ
0.654,0.783,-3.287,0.0413,0.098,0,0.0924,0.82,120.015,196112,青春チョコレート
0.667,0.802,-6.495,0.0349,0.149,1.84e-06,0.163,0.556,125.91,269284,ロマンスの神様
0.523,0.887,-4.859,0.0319,0.000553,0.000429,0.0865,0.61,92.493,260320,かわいい
0.763,0.663,-5.668,0.033,0.243,3.61e-05,0.0733,0.681,96.002,217048,ケダモノのフレンズ
0.436,0.69,-10.502,0.226,0.218,2.2e-06,0.598,0.757,180.154,154613,学園天国
0.426,0.859,-3.066,0.0603,0.000228,0,0.305,0.66,91.902,152440,可愛い君が愛おしい!
0.882,0.94,-2.621,0.0455,0.0203,0.941,0.0217,0.745,128.019,140508,Earth Defense Force
0.676,0.406,-7.104,0.0327,0.597,0,0.201,0.498,139.957,218820,3月の帰り道
0.736,0.693,-5.231,0.0296,0.192,0.004,0.0846,0.766,92.014,145109,First Love feat.natsumi
0.869,0.68,-6.233,0.318,0.0416,1.12e-06,0.0914,0.815,85.519,268400,My Name Is
0.593,0.91,-2.84,0.0605,0.00289,0,0.212,0.678,129.384,169698,やってみよう
0.847,0.271,-11.535,0.117,0.0149,0.847,0.0898,0.325,136.434,119652,ブラザービート
0.536,0.923,-1.546,0.0404,0.0406,1.83e-06,0.0745,0.775,160.0,251742,インベーダーインベーダー
0.42,0.361,-9.67,0.0242,0.556,6.66e-05,0.136,0.233,89.547,225333,風信子
0.58,0.99,-0.444,0.0426,0.00559,0.000247,0.0683,0.835,95.025,210316,だいしきゅーだいしゅき
0.704,0.836,-6.188,0.154,0.0213,0,0.0742,0.839,90.011,207033,Blue Spring (Sky Filter)
0.703,0.709,-4.169,0.0433,0.00379,5.43e-05,0.333,0.538,117.941,177187,LOVE DIVE
0.853,0.719,-4.714,0.0676,0.0812,0.00151,0.241,0.79,118.007,181078,ASOBO
0.576,0.944,-2.409,0.06,0.0541,0,0.334,0.727,142.04,266373,陽はまた昇るから
0.753,0.61,-6.917,0.266,0.00667,0.00576,0.0316,0.333,167.734,261360,Boombastic - Sting Remix
0.619,0.891,-2.656,0.0825,0.248,0,0.322,0.714,141.831,277400,Venus Line
0.561,0.361,-9.393,0.0462,0.433,0,0.124,0.358,143.946,245962,じゃあね、またね。
0.65,0.913,-2.147,0.0758,0.15,0,0.345,0.594,124.025,249427,キャラクター
0.84,0.889,-4.968,0.125,0.296,3.52e-05,0.344,0.961,124.04,125771,PAKU
0.812,0.502,-8.205,0.0988,0.0392,0.000186,0.14,0.4,79.021,233920,Marry Me (feat. Toya Wright)
0.429,0.987,-3.59,0.161,0.00132,0.00335,0.332,0.5,182.046,214067,自分革命
